visit_id,date,park_name,day_type,temperature_f,visitors,ticket_revenue,staff_on_duty,region,notes
V-10000,2024-01-01,Riverside Park,Weekday,30.0,9,40.50,1,Northeast,
V-10001,2024-01-02,Hilltop Commons,Weekday,27.7,5,22.50,1,Northeast,
V-10002,2024-01-03,Cedar Grove,Weekday,23.7,5,22.50,2,Northeast,
V-10003,2024-01-04,Lakeview Green,Weekday,25.9,5,22.50,,Northeast,
V-10004,2024-01-05,Old Mill Park,Weekday,24.9,5,22.50,1,Northeast,
V-10005,2024-01-06,Riverside Park,Weekend,31.7,230,1035.00,1,Northeast,
V-10006,2024-01-07,Hilltop Commons,Weekend,27.9,149,670.50,1,Northeast,
V-10007,2024-01-08,Cedar Grove,Weekday,27.9,5,22.50,,Northeast,
V-10008,2024-01-09,Lakeview Green,Weekday,25.3,5,22.50,1,Northeast,
V-10009,2024-01-10,Old Mill Park,Weekday,26.2,5,22.50,1,Northeast,
V-10010,2024-01-11,Riverside Park,Weekday,25.4,5,22.50,1,Northeast,
V-10011,2024-01-12,Hilltop Commons,Weekday,31.3,70,315.00,1,Northeast,
V-10012,2024-01-13,Cedar Grove,Weekend,26.0,254,1143.00,2,Northeast,
V-10013,2024-01-14,Lakeview Green,Weekend,25.7,253,1138.50,4,Northeast,
V-10014,2024-01-15,Old Mill Park,Weekday,25.6,5,22.50,,Northeast,
V-10015,2024-01-16,Riverside Park,Weekday,23.8,5,22.50,,Northeast,
V-10016,2024-01-17,Hilltop Commons,Weekday,29.1,5,22.50,,Northeast,
V-10017,2024-01-18,Cedar Grove,Weekday,23.2,5,22.50,1,Northeast,
V-10018,2024-01-19,Lakeview Green,Weekday,24.3,5,22.50,1,Northeast,
V-10019,2024-01-20,Old Mill Park,Weekend,23.3,225,1012.50,3,Northeast,
V-10020,2024-01-21,Riverside Park,Weekend,29.4,270,1215.00,4,Northeast,
V-10021,2024-01-22,Hilltop Commons,Weekday,25.1,5,22.50,,Northeast,
V-10022,2024-01-23,Cedar Grove,Weekday,25.8,5,22.50,1,Northeast,
V-10023,2024-01-24,Lakeview Green,Weekday,21.7,5,22.50,1,Northeast,
V-10024,2024-01-25,Old Mill Park,Weekday,23.5,5,22.50,,Northeast,
V-10025,2024-01-26,Riverside Park,Weekday,29.8,5,22.50,1,Northeast,
V-10026,2024-01-27,Hilltop Commons,Weekend,25.3,147,661.50,1,Northeast,
V-10027,2024-01-28,Cedar Grove,Weekend,31.9,167,751.50,1,Northeast,
V-10028,2024-01-29,Lakeview Green,Weekday,25.3,5,22.50,1,Northeast,
V-10029,2024-01-30,Old Mill Park,Weekday,21.8,5,22.50,1,Northeast,
V-10030,2024-01-31,Riverside Park,Weekday,29.3,5,22.50,,Northeast,
V-10031,2024-02-01,Hilltop Commons,Weekday,26.4,5,22.50,,Northeast,
V-10032,2024-02-02,Cedar Grove,Weekday,22.8,5,22.50,1,Northeast,
V-10033,2024-02-03,Lakeview Green,Weekend,29.6,243,1093.50,3,Northeast,
V-10034,2024-02-04,Old Mill Park,Weekend,25.8,172,774.00,2,Northeast,
V-10035,2024-02-05,Riverside Park,Weekday,30.0,5,22.50,1,Northeast,
V-10036,2024-02-06,Hilltop Commons,Weekday,27.8,5,22.50,1,Northeast,
V-10037,2024-02-07,Cedar Grove,Weekday,23.9,5,22.50,,Northeast,
V-10038,2024-02-08,Lakeview Green,Weekday,27.4,5,22.50,1,Northeast,
V-10039,2024-02-09,Old Mill Park,Weekday,29.2,5,22.50,1,Northeast,
V-10040,2024-02-10,Riverside Park,Weekend,31.8,283,1273.50,2,Northeast,
V-10041,2024-02-11,Hilltop Commons,Weekend,22.8,173,778.50,3,Northeast,
V-10042,2024-02-12,Cedar Grove,Weekday,29.1,29,130.50,1,Northeast,
V-10043,2024-02-13,Lakeview Green,Weekday,31.4,57,256.50,,Northeast,
V-10044,2024-02-14,Old Mill Park,Weekday,34.4,5,22.50,,Northeast,
V-10045,2024-02-15,Riverside Park,Weekday,35.4,5,22.50,1,Northeast,
V-10046,2024-02-16,Hilltop Commons,Weekday,31.2,5,22.50,,Northeast,
V-10047,2024-02-17,Cedar Grove,Weekend,37.0,362,1629.00,5,Northeast,
V-10048,2024-02-18,Lakeview Green,Weekend,32.4,274,1233.00,3,Northeast,
V-10049,2024-02-19,Old Mill Park,Weekday,41.1,26,117.00,,Northeast,
